Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
329	3,76838905775076	0,4224	0,233	36,8777209227295
329,5	3,76267071320182	0,4688	0,2586	41,053180512986
330	3,7569696969697	0,4714	0,2619	41,4062429424101
330,5	3,75128593040847	0,428	0,241	37,7081359896758
331	3,74561933534743	0,4026	0,2284	35,5777210840458
331,5	3,73996983408748	0,4181	0,2364	37,0591625463785
332	3,73433734939759	0,4362	0,2451	38,7802135828359
332,5	3,72872180451128	0,4392	0,2466	39,1646273592515
333	3,72312312312312	0,4294	0,2426	38,4059820938861
333,5	3,71754122938531	0,4072	0,2327	36,5298436844652
334	3,71197604790419	0,415	0,2382	37,3412969833844
334,5	3,70642750373692	0,4451	0,2543	40,16966468382
335	3,70089552238806	0,4639	0,2648	41,9915934021616
335,5	3,69538002980626	0,4531	0,2589	41,1365133690918
336	3,68988095238095	0,4152	0,2381	37,8080490401678
336,5	3,68439821693908	0,3821	0,221	34,8975985844491
337	3,67893175074184	0,3738	0,2177	34,2410809808034
337,5	3,67348148148148	0,4005	0,2343	36,7958163615099
338	3,66804733727811	0,4341	0,2532	40,0010650104856
338,5	3,66262924667651	0,4553	0,2655	42,078801762381
339	3,65722713864307	0,4636	0,271	42,9725565413776
339,5	3,65184094256259	0,4745	0,2785	44,1127509477335
340	3,64647058823529	0,5018	0,2966	46,7882561703501
340,5	3,64111600587372	0,5007	0,2967	46,8231030609776
341	3,63577712609971	0,4714	0,2793	44,2126660751734
341,5	3,63045387994143	0,4694	0,2785	44,1542862961768
342	3,62514619883041	0,4893	0,2912	46,1610624294241
342,5	3,61985401459854	0,5077	0,303	48,0370891474431
343	3,61457725947522	0,5149	0,3086	48,8606792224552
343,5	3,60931586608443	0,4861	0,2925	46,2623267664139
344	3,60406976744186	0,4184	0,2535	39,9352979512825
344,5	3,5988388969521	0,4031	0,2444	38,586875927569
345	3,5936231884058	0,459	0,2785	44,0655549282142
345,5	3,58842257597684	0,4893	0,2976	47,1107140869495
346	3,58323699421965	0,4778	0,2913	46,1367194708824
346,5	3,57806637806638	0,4866	0,2975	47,1223510646879
347	3,57291066282421	0,494	0,3032	47,9771301822875
347,5	3,56776978417266	0,4767	0,2935	46,4304761856751
348	3,56264367816092	0,4751	0,2931	46,4078967575415
348,5	3,55753228120517	0,4834	0,2988	47,3544262381029
349	3,55243553008596	0,4656	0,2886	45,7416886594612
349,5	3,54735336194564	0,4781	0,2972	47,1043995200839
350	3,54228571428571	0,528	0,3291	52,1697047910953
350,5	3,53723252496434	0,5674	0,3547	56,2229648733667
351	3,53219373219373	0,5517	0,346	54,8233519115986
351	3,53219373219373	0,5302	0,3339	52,6868609453138
